accX,accY,accZ,gyroX,gyroY,gyroZ
1.16,0.18,0.48,2.63,-123.84,82.33
1.57,-0.05,0.41,-19.29,-97.59,67.83
1.88,-0.21,0.99,-72.14,-34.80,29.01
1.89,-0.05,2.00,-129.39,-40.46,4.71
1.74,0.02,2.00,-56.85,-93.26,-17.19
1.55,-0.18,2.00,-14.11,-108.22,-20.40
1.37,-0.25,2.00,-47.15,-116.21,-50.80
1.03,-0.01,2.00,-88.75,-120.02,-92.72
0.68,0.52,1.91,-90.85,-104.01,-107.28
0.47,0.81,1.73,-101.04,-81.83,-74.42
0.46,0.62,1.66,-76.13,-41.37,-33.48
0.49,0.32,1.60,-27.08,-3.91,-23.97
0.36,0.13,1.53,11.73,17.88,-47.50
-0.01,0.24,1.77,5.20,9.30,-54.34
-0.35,0.17,1.58,13.99,-16.11,-42.67
-0.47,-0.06,1.36,30.28,10.15,-27.98
-0.60,-0.17,1.27,74.52,51.93,-39.37
-0.81,0.01,1.19,86.12,71.89,-39.76
-0.94,0.22,1.25,68.59,69.79,-8.66
-0.77,0.21,1.17,70.49,85.21,33.08
-0.71,0.21,1.11,122.86,159.97,54.54
-0.42,0.22,1.23,87.35,184.61,93.89
0.01,0.02,1.82,-9.36,148.49,135.18
0.18,-0.14,1.92,-26.52,134.86,169.23
0.65,-0.68,2.00,7.45,189.64,185.56
0.90,-0.52,2.00,26.25,199.63,140.37
0.85,-0.16,2.00,-38.00,160.39,116.75
0.78,-0.00,2.00,-57.73,133.37,125.63
1.01,0.01,1.76,-71.30,115.51,139.11
1.25,-0.11,1.75,-75.48,124.38,136.92
1.46,-0.33,1.90,-94.09,86.71,114.18
1.74,-0.42,1.89,-80.94,32.27,50.87
1.77,-0.13,1.78,-61.45,-12.71,-26.34
1.55,0.16,1.60,-29.74,-63.63,-88.41
1.26,0.44,1.28,5.73,-82.29,-111.39
1.17,0.17,1.14,29.66,-78.09,-122.00
1.03,-0.07,1.03,74.52,-76.59,-163.99
0.81,-0.22,0.95,69.85,-99.24,-211.31
0.78,-0.15,1.17,53.63,-133.32,-250.00
0.63,-0.10,1.22,54.64,-146.09,-250.00
0.81,-0.08,1.45,64.21,-91.41,-250.00
0.94,-0.09,1.96,52.39,-39.47,-230.08
1.09,-0.66,2.00,-36.24,-51.77,-179.91
1.35,-1.01,2.00,-40.53,-79.47,-173.92
1.31,-1.25,2.00,-20.47,-93.39,-198.12
0.91,-1.03,2.00,-28.76,-138.76,-237.60
0.49,-0.58,1.95,-68.20,-175.13,-250.00
0.12,-0.23,1.53,-76.10,-157.34,-239.65
-0.26,-0.17,1.41,-72.66,-113.20,-219.87
